"","Accession","Seed color","Tipburn","Height (cm)","Bolting time (days)","Leaf color","Leaf shape","Leaf margin","Leaf wrinkle","Leaf thickness","Twisted vein","Leaf blister","Degree of heading","Damaged leaf"
"18",18,"black","slight tipburn","100","64","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"19",19,"dark brown","slight tipburn","110","81","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"20",20,"light brown","normal","110","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"21",21,"light brown","tipburn","110","64","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"22",22,"light brown","tipburn","120","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"23",23,"light brown","slight tipburn","130","81","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"24",24,"light brown","normal","140","49","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"25",25,"light brown","tipburn","140","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"26",26,"dark brown","tipburn","110","64","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"27",27,"light brown","slight tipburn","110","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"28",28,"light brown","slight tipburn","90","63","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"29",29,"light brown","normal","140","49","green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"30",30,"light brown","slight tipburn","110","69","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"31",31,"light brown","slight tipburn","110","69","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"32",32,"white","slight tipburn","90","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"33",33,"black","slight tipburn","110","64","green","orbicular","entire","slight wrinkle","normal","Yes","blister","closed heading","Yes"
"34",34,"white","slight tipburn","120","72","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"35",35,"black","normal","130","69","light green","ovate","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"36",36,"black","normal","130","71","light green","ovate","entire","slight wrinkle","normal","Yes","blister","loose leaf","Yes"
"37",37,"black","normal","110","79","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"38",38,"black","normal","130","49","light green","orbicular","entire","slight wrinkle","normal","Yes","blister","closed heading","Yes"
"39",39,"light brown","normal","90","49","light green","orbicular","entire","slight wrinkle","normal","Yes","blister","closed heading","Yes"
"40",40,"light brown","slight tipburn","150","68","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"41",41,"light brown","slight tipburn","150","68","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"42",42,"light brown","slight tipburn","120","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"43",43,"light brown","slight tipburn","160","63","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"44",44,"light brown","normal","155","54","light green","ovate","entire","slight wrinkle","normal","Yes","slight blister","loose leaf","Yes"
"45",45,"black","normal","130","68","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"46",46,"black","slight tipburn","140","68","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"47",47,"white","normal","110","69","dark green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"48",48,"white","tipburn","140","63","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","loose leaf","Yes"
"49",49,"black","tipburn","110","49","green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"50",50,"black","slight tipburn","120","69","green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"51",51,"black","tipburn","130","64","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"52",52,"white","slight tipburn","120","64","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"53",53,"white","slight tipburn","135","70","dark green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"54",54,"light brown","normal","150","70","light green","orbicular","entire","slight wrinkle","normal","Yes","blister","loose leaf","Yes"
"55",55,"light brown","normal","145","58","light green","orbicular","entire","slight wrinkle","normal","Yes","blister","loose leaf","Yes"
"56",56,"black","normal","110","70","green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"57",57,"black","tipburn","140","49","green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"58",58,"black","normal","110","70","green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"59",59,"light brown","normal","130","71","light green","orbicular","entire","slight wrinkle","normal","Yes","blister","closed heading","Yes"
"60",60,"light brown","tipburn","120","71","green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"61",61,"light brown","slight tipburn","130","49","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"62",62,"black","normal","130","49","green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"63",63,"white","tipburn","130","64","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"64",64,"light brown","tipburn","110","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"65",65,"light brown","normal","130","54","dark green","ovate","serrate","wrinkle","normal","No","blister","loose leaf","Yes"
"66",66,"black","normal","150","71","dark green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"67",67,"black","slight tipburn","150","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"68",68,"white","normal","130","83","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"69",69,"white","slight tipburn","90","83","light green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"70",70,"dark brown","NA","NA","71","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"71",71,"white","normal","140","64","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"72",72,"white","slight tipburn","160","58","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"73",73,"light brown","slight tipburn","140","68","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"74",74,"white","slight tipburn","140","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"75",75,"black","slight tipburn","140","71","dark green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"76",76,"black","slight tipburn","150","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"77",77,"light brown","normal","150","81","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","loose leaf","Yes"
"78",78,"white","tipburn","140","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"79",79,"black","slight tipburn","100","83","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"80",80,"white","normal","90","70","dark green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"81",81,"black","slight tipburn","110","71","light green","orbicular","entire","slight wrinkle","normal","Yes","blister","closed heading","Yes"
"82",82,"light brown","normal","90","64","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"83",83,"white","normal","120","69","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"84",84,"black","slight tipburn","130","71","light green","orbicular","entire","slight wrinkle","normal","Yes","blister","closed heading","Yes"
"85",85,"black","tipburn","135","69","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"86",86,"black","normal","170","64","dark green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","loose leaf","Yes"
"87",87,"black","tipburn","110","63","green","orbicular","entire","slight wrinkle","normal","Yes","blister","closed heading","Yes"
"88",88,"black","normal","100","58","green","orbicular","entire","slight wrinkle","normal","Yes","blister","closed heading","Yes"
"89",89,"black","tipburn","120","49","light green","orbicular","entire","slight wrinkle","normal","Yes","blister","closed heading","Yes"
"90",90,"light brown","slight tipburn","140","70","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"91",91,"black","normal","185","63","light green","ovate","crenate","wrinkle","thin","Yes","slight blister","loose leaf","Yes"
"92",92,"light brown","slight tipburn","170","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"93",93,"light brown","NA","140","68","light green","oblong","dissected","slight wrinkle","normal","No","blister","loose leaf","No"
"94",94,"black","slight tipburn","120","71","dark green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"95",95,"black","normal","160","71","green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","loose leaf","No"
"96",96,"light brown","NA","160","71","dark green","ovate","crenate","slight wrinkle","normal","No","slight blister","loose leaf","No"
"97",97,"light brown","NA","140","68","dark green","oblong","serrate","slight wrinkle","thick","No","blister","loose leaf","No"
"98",98,"light brown","NA","160","72","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"99",99,"white","normal","140","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"100",100,"white","NA","125","63","dark green","oblong","serrate","wrinkle","normal","No","slight blister","loose leaf","No"
"101",101,"white","tipburn","110","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"102",102,"black","normal","NA","71","dark green","orbicular","serrate","wrinkle","normal","Yes","slight blister","closed heading","No"
"103",103,"black","NA","150","70","green","oblong","dissected","smooth","normal","No","slight blister","loose leaf","No"
"104",104,"white","NA","110","70","dark green","ovate","serrate","wrinkle","normal","Yes","slight blister","loose leaf","No"
"105",105,"black","tipburn","120","71","dark green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","No"
"106",106,"white","normal","100","71","green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"107",107,"white","normal","100","68","green","orbicular","entire","slight wrinkle","normal","Yes","blister","closed heading","Yes"
"108",108,"light brown","tipburn","100","49","green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","No"
"109",109,"white","normal","130","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","No"
"110",110,"black","normal","140","68","light green","ovate","serrate","wrinkle","normal","No","slight blister","loose leaf","No"
"111",111,"white","normal","110","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","loose leaf","No"
"112",112,"black","slight tipburn","100","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"113",113,"light brown","NA","150","71","light green","oblong","entire","smooth","normal","No","slight blister","closed heading","No"
"114",114,"white","slight tipburn","120","70","dark green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"115",115,"white","tipburn","120","63","green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"116",116,"black","tipburn","90","64","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"117",117,"white","tipburn","140","64","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"118",118,"white","tipburn","150","49","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"119",119,"light brown","normal","110","70","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"120",120,"white","normal","150","70","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"121",121,"white","tipburn","140","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"122",122,"white","tipburn","110","64","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"123",123,"light brown","tipburn","170","49","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"124",124,"dark brown","tipburn","110","68","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"125",125,"light brown","NA","160","64","green","lanceolate","entire","slight wrinkle","normal","No","blister","loose leaf","No"
"126",126,"light brown","normal","100","49","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"127",127,"white","tipburn","130","49","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"128",128,"white","tipburn","150","70","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"129",129,"white","slight tipburn","120","69","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","No"
"130",130,"black","tipburn","150","58","green","ovate","entire","slight wrinkle","normal","No","blister","loose leaf","No"
"131",131,"black","tipburn","150","70","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"132",132,"black","tipburn","140","49","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"133",133,"white","tipburn","110","63","green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"134",134,"light brown","tipburn","130","64","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"135",135,"light brown","tipburn","140","68","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"136",136,"white","tipburn","130","63","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"137",137,"black","tipburn","100","70","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"138",138,"white","tipburn","150","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"139",139,"white","slight tipburn","120","69","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"140",140,"black","tipburn","110","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"141",141,"light brown","tipburn","130","69","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"142",142,"light brown","tipburn","150","64","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"143",143,"light brown","tipburn","150","63","light green","ovate","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"144",144,"light brown","tipburn","160","64","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"145",145,"light brown","slight tipburn","120","68","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"146",146,"dark brown","slight tipburn","150","70","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"147",147,"light brown","normal","180","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"148",148,"light brown","tipburn","110","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"149",149,"light brown","normal","100","58","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"150",150,"light brown","tipburn","120","58","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"151",151,"light brown","tipburn","150","49","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"152",152,"light brown","tipburn","150","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"153",153,"light brown","NA","150","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"154",154,"light brown","slight tipburn","150","70","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"155",155,"black","tipburn","130","69","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"156",156,"light brown","NA","100","73","light green","NA","entire","slight wrinkle","normal","Yes","slight blister","closed heading","No"
"157",157,"light brown","slight tipburn","140","64","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"158",158,"light brown","tipburn","140","63","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"159",159,"light brown","tipburn","140","63","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"160",160,"light brown","tipburn","110","49","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"161",161,"light brown","tipburn","120","70","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"162",162,"light brown","slight tipburn","130","70","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"163",163,"light brown","normal","120","69","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"164",164,"light brown","normal","120","49","light green","ovate","entire","slight wrinkle","normal","Yes","blister","closed heading","Yes"
"165",165,"light brown","tipburn","110","70","light green","orbicular","entire","slight wrinkle","thick","Yes","slight blister","closed heading","Yes"
"166",166,"dark brown","NA","140","73","green","ovate","entire","smooth","normal","No","blister","loose leaf","No"
"167",167,"dark brown","tipburn","120","70","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"168",168,"black","NA","110","69","green","ovate","entire","slight wrinkle","normal","No","blister","loose leaf","Yes"
"169",169,"black","slight tipburn","130","49","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"170",170,"dark brown","tipburn","110","70","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"171",171,"black","tipburn","70","63","green","ovate","entire","slight wrinkle","normal","Yes","blister","loose leaf","Yes"
"172",172,"black","NA","130","68","green","oblong","serrate","smooth","normal","No","slight blister","closed heading","Yes"
"173",173,"black","tipburn","130","70","light green","orbicular","entire","slight wrinkle","thick","Yes","blister","closed heading","Yes"
"174",174,"light brown","normal","130","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"175",175,"black","slight tipburn","110","69","green","orbicular","entire","slight wrinkle","normal","Yes","blister","closed heading","Yes"
"176",176,"light brown","slight tipburn","140","49","green","orbicular","entire","slight wrinkle","normal","Yes","blister","closed heading","Yes"
"177",177,"light brown","tipburn","130","49","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"178",178,"light brown","tipburn","140","71","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","No"
"179",179,"white","slight tipburn","140","63","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"180",180,"white","normal","120","58","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","loose leaf","No"
"181",181,"white","slight tipburn","180","64","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"182",182,"light brown","normal","115","68","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"183",183,"light brown","normal","130","63","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"184",184,"light brown","normal","NA","NA","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"185",185,"black","slight tipburn","180","79","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"186",186,"dark brown","normal","170","71","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"187",187,"dark brown","normal","130","74","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"188",188,"dark brown","normal","170","49","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"189",189,"dark brown","normal","120","75","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"190",190,"light brown","normal","175","75","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"191",191,"dark brown","normal","175","81","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"192",192,"dark brown","normal","110","81","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"193",193,"dark brown","normal","175","79","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"194",194,"white","normal","150","80","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"195",195,"black","normal","160","75","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"196",196,"white","normal","180","81","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"197",197,"dark brown","normal","110","81","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"198",198,"dark brown","normal","180","71","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"199",199,"white","normal","180","49","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"200",200,"white","normal","170","81","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"201",201,"white","tipburn","160","68","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"202",202,"black","slight tipburn","160","49","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"203",203,"white","normal","160","71","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"204",204,"white","normal","NA","70","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"205",205,"black","normal","100","79","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"206",206,"white","normal","150","70","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"207",207,"dark brown","normal","170","64","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"208",208,"dark brown","normal","160","83","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"209",209,"white","normal","145","83","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"210",210,"light brown","normal","NA","73","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"211",211,"white","slight tipburn","150","70","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"212",212,"black","normal","150","85","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"213",213,"light brown","normal","160","75","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"214",214,"black","normal","NA","89","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"215",215,"light brown","normal","160","70","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"216",216,"light brown","normal","150","85","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"217",217,"light brown","normal","150","85","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"218",218,"white","normal","140","83","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"219",219,"white","normal","150","70","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"220",220,"black","normal","130","70","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"221",221,"black","tipburn","130","69","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"222",222,"white","normal","150","64","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"223",223,"white","slight tipburn","115","70","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"224",224,"dark brown","tipburn","150","70","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"225",225,"dark brown","normal","150","71","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"226",226,"dark brown","normal","160","49","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"227",227,"dark brown","normal","160","75","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"228",228,"light brown","normal","160","83","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"229",229,"white","normal","190","81","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"230",230,"dark brown","normal","NA","81","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"231",231,"dark brown","normal","170","80","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"232",232,"dark brown","normal","160","69","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"233",233,"black","normal","170","NA","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"234",234,"light brown","normal","NA","NA","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"235",235,"black","normal","130","68","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"236",236,"black","normal","160","64","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"237",237,"dark brown","normal","160","68","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"238",238,"dark brown","normal","160","70","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"239",239,"black","NA","130","49","light green","ovate","serrate","wrinkle","normal","Yes","slight blister","loose leaf","No"
"240",240,"white","slight tipburn","140","83","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"241",241,"dark brown","normal","170","79","dark green","ovate","serrate","slight wrinkle","thick","Yes","blister","heading","No"
"242",242,"light brown","NA","110","70","light green","ovate","serrate","wrinkle","normal","Yes","blister","heading","Yes"
"243",243,"white","tipburn","115","70","light green","ovate","serrate","slight wrinkle","thick","Yes","slight blister","heading","No"
